title,content,subcodexes
"Sacrifice","You can only sacrifice cards you control and that are in the realm. If you are sacrificing as part 
of paying a cost for an effect, the sacrificed card doesn't go to the cemetery until the effect is 
resolved. For example, [[Sinkhole]]. If you sacrifice a card that would normally be prevented from 
being destroyed (e.g. ((Ward)), [[Lady Iseult]], [[Gilded Aegis]], [[The Doom of Dilmun]], etc.), 
the prevention fails and the card is actually sacrificed. That is, sacrifice effects supersede all 
destruction prevention effects, contrary to the typical '((Can vs. Can't))' priority. It's still 
being killed, deathrites still trigger, kill credit is still awarded, etc.; the sacrificed minion 
simply won't be saved by any prevention or replacement effects. For example, if I have [[Bluecap 
Knockers]] on my [[Sinkhole]] and then use the activated ability on my Sinkhole to sacrifice it, I 
indeed destroy my own Sinkhole even though Bluecap Knockers says it can't be destroyed. As another 
example, my Apprentice Wizard is nearby Lady Iseult when I sacrifice my Apprentice Wizard to summon 
a [[Moon Clan Werewolf]]. My Apprentice Wizard is about to die, and normally Lady Iseult would 
return him to my hand. But because this is a sacrifice effect, the death cannot be prevented. The 
Moon Clan Werewolf is summoned and the Apprentice Wizard goes to my cemetery. The examples above 
would be the same if the Sinkhole and Apprentice Wizard were warded; the Ward would not save them 
from being sacrificed!",""
"Search","Searching a zone (e.g. [[Adept Illusionist]]) allows you to ))look at(( the cards in those zones and 
potentially find something.  Only effects which use the word 'search' are considered to be searching 
a zone. If you search a public zone, then you must find what you're searching for, if possible. If 
you search a private zone, then you may choose to fail to find what you're searching for, even if it 
exists in that zone. When returning cards you have searched through to the top or bottom of a deck, 
specifically, you may choose the order for them. Some search effects say 'shuffle if needed.'  This 
is usually because the effect gives you the option to search a private zone, and/or public ones.  If 
you choose to search a private zone, you must shuffle afterward, but if you only search a public 
zone, you do not shuffle.  For instance, if you use [[Adept Illusionist]]'s ability to summon 
another copy from your cemetery and do not search your spellbook, you do not shuffle your spellbook.",""
"Setup","Follow these steps to set up the game: Clearing some space in the middle of the table for the realm. 
Each player places their Avatar on the square in the middle of their bottom row. Players shuffle and 
place their atlas and spellbook decks somewhere close by, leaving some space for their cemeteries. 
Players randomly decide who goes first. Each player draws three cards from their atlas and three 
cards from their spellbook. The first player may mulligan up to three cards from their hand, placing 
them on the bottom of their respective decks in any order. Then, they redraw the same number of 
cards from each deck. The second player may mulligan in the same way. Some tournament rules may 
modify the setup procedure.",""
"Silenced","A silenced card loses all its special abilities. It retains its characteristics and its basic 
abilities. See the '((lose))' codex entry to understand what that word means in a Sorcery context.",""
"Site","A site is a locus of energy within the realm that provides you with mana to cast spells. Sites are 
usually played by activating your Avatar's ability, though they may enter the realm in other ways. 
You and your opponent may attack each other's sites to cause life loss, so make sure to place your 
sites carefully! [[Maelström]] is an example of a site. When a site is destroyed, put it in its 
owner's cemetery, leaving behind a Rubble token. There is no limit to the number of cards that may 
occupy the same site. Sites have characteristics, specifically ((site characteristics)), and are one 
of the six card types in the game. To play a site, you will typically use your avatar's ability, 
though some other effects allow you to play sites in other ways, e.g. [[Frontier Settlers]]. If an 
effect instructs you to 'play a site' (e.g. [[Sorcerer]]), by default you must play it adjacent to 
one of your existing sites, or as close as possible to your avatar if you don't have any sites. If 
an effect instructs you to play a site with some positional information (e.g. [[Pathfinder]]), then 
card text takes precedence and you may ignore the 'adjacent to your existing sites' requirement. If 
a site is played to a void square occupied by minions or artifacts, the site springs into being 
under them.  Those minion and artifacts end up on the surface of the site, and do not count as 
having entered the site or location. If a site is played to rubble that is occupied by minions or 
artifacts, those minions and artifacts will end up in the same relative position they had to the 
rubble (i.e. occupying the sub-surface or surface). When cards refer to 'adjacent site' or 'nearby 
site,' see ((adjacent)) and ((nearby)) for clarity on how to resolve it.",""
"Skeleton Token","A Skeleton is a token minion with 1 power.  A Skeleton is an Ordinary Undead and an ((air)) minion.  
For example, [[Open Mausoleum]].",""
"Span of Land","A span of land is a contiguous group of adjacent land sites, regardless of who controls those sites. 
If a card refers to 'its span of land' or 'this span of land,' it means the span of land occupied by 
that card. If that card doesn't currently occupy a span of land, then it doesn't have a span of 
land. To choose a span of land (e.g. [[Minecart Madness]]), choose one land site. Every land site 
(regardless of controller) that's connected to the chosen site via adjacent land sites is in that 
span of land. If a site becomes disconnected from the chosen land site (e.g. [[Earthquake]] in the 
middle of the turn), the disconnected site is no longer in the span of land. If the chosen site is 
no longer a land site (e.g. [[Flood]] in the middle of the turn), then the 'chosen span of land' no 
longer exists.",""
"Special Ability","Anything printed in the text box of a card is considered a special ability, as well as any other 
abilities it gains via other effects, e.g. [[Charge!]]. Special abilities have four categories, 
described in their own codex entries: Keyword ability Passive ability Activated ability Triggered 
ability",""
"Spell","Spells represent all of your prepared power to contest the realm. These include minions to help you 
defend your sites and attack the enemy, artifacts to tip the balance of power in your favor, magics 
to overpower your foes, and auras to impose your will on areas of the realm. Magics are a type of 
spell, but minions, artifacts, and auras are all spells as well! Every card in your spellbook is a 
spell! See casting spells for more details.",""
"Spellbook","Your spellbook is your deck of spells and is one of the zones in the game. Only spells can be placed 
or shuffled into your spellbook. If an effect would cause an atlas card to be shuffled into a 
spellbook, that effect is ignored. Constructed Format
Your spellbook must contain 60 or more spells and respect rarity limits. Limited Formats (Draft or 
Sealed)
Your spellbook must contain 24 or more spells, ignoring rarity restrictions.",""
"Spellcaster","Keyword Ability. A card with the Spellcaster keyword may cast spells. Avatars are automatically 
spellcasters. Some spellcasters may only cast spells that match a specific element. For example, 
[[Lava Salamander]] is a Fire Spellcaster, and thus may only cast spells that require Fire threshold 
(F).",""
"Split Power","Some units have split power, with a separate number for attack power and defense power. The first 
number is attack power and the second number is defense power. For example, [[White Knight]] has 3 
attack power and 5 defense power. Attack power is how much damage the unit will inflict when it 
strikes. For example, [[White Knight]] will deal 3 damage when it strikes. Defense power is how much 
damage the unit can take in a turn before it dies. For example, [[White Knight]] must take 5 or more 
damage in a turn to be killed. If an effect needs to know the 'power' of a unit with split power, 
e.g. [[Gnome Hollows]] or [[Chaos Twister]], take the average of the two numbers and round down, if 
needed. For example, a [[Brother Knight]] could enter Gnome Hollows and would deal 2 damage via 
Chaos Twister.",""
"Square","One grid square in the realm. The default size of the realm is a 5 x 4 grid of squares. When 
referring to squares, an effect can cross the boundaries of regions. The physical dimensions of a 
grid square can sometimes matter, e.g. [[Chaos Twister]]. Follow the golden rule and tournament 
rules, but reasonable sizes are between 4.5' and 5'.",""
"Start Phase","The start phase is the first phase you complete during your turn. Follow these steps in order: All 
abilities that last 'Until next turn' now end. All of your cards untap. All of your sites (and other 
cards) provide their mana for this turn. Trigger and resolve abilities that happen at the start of 
the turn. Draw a card from either your spellbook or atlas. On the first player's first turn of the 
game, they do not draw a card.",""
"Stealth","Keyword Ability. Minions with Stealth cannot be targeted by spells or abilities from your opponents 
(including attacks), their attacks cannot be defended, they cannot be intercepted, and projectiles 
cannot hit them. Artifacts carried by a Stealthed minion also cannot be targeted. Stealth is tracked 
with a stealth token. Stealth is lost after the minion interacts with the realm. Non-minions cannot 
have Stealth. If a minion with Stealth becomes a non-minion, remove the Stealth token and they lose 
Stealth. A minion with the Stealth keyword enters the realm with a Stealth token. If a minion 
becomes disabled or silenced, it will lose its Stealth token, since Stealth is an ability (similar 
to Ward).",""
"","","When exactly is 'after'?:  Stealth is lost 'after' interacting with the realm, so here is a precise 
explanation of when 'after' occurs for the ways Stealth could be lost. Important note: If a minion 
loses Stealth for multiple reasons (e.g. activated ability that causes damage and does other 
things), the minion loses Stealth after the first reason. Activate a special ability: Resolve the 
entire ability, including any Deathrites. Once the Storyline is empty, Stealth is lost. Deal Damage: 
Resolve any effects concurrent with dealing damage (e.g. [[Daperyll Vampire]] gaining life based on 
a strike). Stealth will be lost before Deathrites resolve. Note: even if the damage is prevented 
(e.g. [[Shield Maidens]]), Stealth will still be lost. Strike: Resolve any effects concurrent with 
dealing damage (e.g. [[Daperyll Vampire]] gaining life based on a strike, or the controlling avatar 
losing life if a site was struck). Stealth will be lost before Deathrites resolve. Note: even if the 
strike is for 0 damage (e.g. [[Grandmaster Wizard]]), Stealth will still be lost. Cast a spell: 
Resolve the entire spell, including any Deathrites. Once the Storyline is empty, Stealth is lost."
"Step","Step has two meanings in Sorcery! A step is the smallest measure of distance in Sorcery, equal to 
the distance between two adjacent locations in the same region, e.g. 'up to 2 steps away' on cards 
like [[Dispel]]. A step is also the smallest distance a unit can travel when moving, e.g. 'take a 
step' on cards like [[Leap Attack]]. If an effect uses 'up to X steps away,' use the first 
definition. Movement abilities do not apply because you're not moving anywhere, you're checking 
distance. Simply count 1 adjacent square per step, without crossing region boundaries. Examples 
include [[Payload Trebuchet]] and [[Sleep]]. If an effect uses 'push/pull/drag one step,' also use 
the first definition, because the unit is not moving of their own volition. This is forced movement. 
Simply count 1 adjacent square per step, without crossing region boundaries. Examples include 
[[Whirlwind]] and [[Wind Sylph]]. If an effect uses 'take a step' or 'move one step,' the unit is 
moving itself and may use abilities like Airborne, Voidwalk, Burrow, and Submerge, crossing region 
boundaries. Use the second definition. An Immobile unit could not 'take a step' at all. Examples 
include [[Guile Sirens]], which could make a nearby Airborne enemy take a diagonal step toward them, 
and [[Leap Attack]], which could allow a Burrowed minion to unburrow to the surface and strike all 
the units there. Note that the Moves Freely ability only applies during the 'Move and Attack' and 
'Defend' basic abilities.",""
"Stops","After a unit moves, it 'stops' when there is no additional movement for that unit on the storyline 
(or if it's being carried, no additional movement on the storyline for the unit that's carrying it). 
A unit must first move to then stop. Projectiles are similar; if they do not enter a new location, 
the projectile hasn't moved at all and thus cannot stop. For example, a [[Snowball]] that doesn't 
enter any new locations and doesn't move will not deal any damage. Note that 'stops' is not the same 
as at rest. As a complicated example, consider casting [[Blink]] with an [[Orb of Ba'al Berith]] 
nearby. Both Blink spells will be on the storyline. After the first Blink resolves, whatever unit 
just moved will 'stop,' since there's no other movement for that unit on the storyline immediately 
after the first Blink resolves; the ally for the second Blink hasn't been chosen yet. If the same 
unit is chosen for the second Blink, it will stop a second time (assuming it changes locations after 
each Blink to actually result in movement).",""
"Storyline","When the story being told during a game of Sorcery starts to get complicated, particularly when 
multiple abilities trigger at the same time, use the storyline to resolve them.",""
"","","Most Effects Use The Storyline:  A storyline begins each time a spell is cast, or an ability is 
activated or triggered. For example, when you cast the [[Plumed Pegasus]] spell, the spell goes onto 
the storyline, and then it resolves from the storyline. The same is true for abilities. For example, 
when you tap a unit to use the 'Move and Attack' basic ability, the ability itself goes onto the 
storyline, then resolves from the storyline. Minion, aura, and artifact spells enter the realm after 
they resolve, while magic spells go to the cemetery after they resolve. When casting spells, or 
activating or triggering abilities, please note the 'target' rules."
"","","Some Effects Do Not Use the Storyline:  Note that replacement effects, prevention effects, and 
ongoing effects do not use the storyline. See those codex entries for further details."
"","","Splitting Events on the Storyline:  As some events are resolving from the storyline, they split up 
into smaller events. Note that events are only split up as they are resolving, and not when they are 
added to the storyline. The following are the reasons to split up an event as it resolves from the 
storyline: A card enters or leaves the realm A card moves in the realm Explicit card text, e.g. 'one 
at a time' on [[Firebolts]] or [[Tactical Move]] For example, let's say the realm looks like this:  
I have an allied at [[Azuridge Caravan]] at A. Site R is a [[Summer River]]. There's an enemy [[Lady 
Iseult]] at I. I cast [[Grapple Shot]]. The storyline will look like this: Grapple Shot effect If 
there were any cast triggers (e.g. [[Enchantress]], [[Fenvale Muse]], [[Ring of Morrigan]], etc.), 
those ((new events interrupt the storyline)). Assuming for now we don't have those, Grapple Shot 
starts to resolve. I choose Azuridge Caravan as the ally, who shoots a projectile, hitting Lady 
Iseult. At this moment, the Caravan needs to move, so we handle the ((movement on the storyline)). 
The movement path is set, and now Grapple Shot is split into smaller events, so the storyline now 
looks like this: DONE: first part of Grapple Shot Azuridge Caravan moves from surface of A to 
surface of R Azuridge Caravan moves from surface of R to surface of I Remaining part of Grapple Shot 
The events on the storyline continue to resolve now, and triggered abilities may insert themselves 
as needed, since ((new events interrupt the storyline)). Another Example of Splitting Events
Let's say I use the [[Druid]]'s ability to play a site and summon Tawny. I tap the Druid and the 
storyline looks like this: Druid's ability (Play or draw a site. If you played a site and you don't 
control Tawny, summon her there.) So, the ability starts to resolve and I play my site. As soon as a 
card enters the realm, the event on the storyline splits, so it now looks like: DONE: first part of 
Druid's ability (Play or draw a site) Remaining part of Druid's ability (If you played a site and 
you don't control Tawny, summon her there.) Since ((new events interrupt the storyline)), here's 
what the storyline would look like if the site had a genesis ability, e.g. [[Red Desert]]: DONE: 
first part of Druid's ability (Play or draw a site) Red Desert's genesis ability Remaining part of 
Druid's ability (If you played a site and you don't control Tawny, summon her there.) The Red 
Desert's genesis ability is inserted before the remaining part of the Druid's ability. The Red 
Desert's genesis ability must resolve before Tawny is summoned.
 Special Case for Search Effects
If an effect causes you to search, then do something that would normally cause a storyline event to 
be split, and then do something else with the searched cards, you complete the entire search process 
before splitting the event. For example, if [[Brother Knight]]'s genesis ability is resolving and I 
search my deck, then summon the other Brother Knight, normally a card entering the realm would cause 
the event to split on the storyline. E.g. a [[Giant Shark]] or [[Bottomless Pit]] might interrupt 
the rest of the first Brother Knight's genesis ability. But, in fact, you must complete the entire 
search process and shuffle your deck before allowing any triggered abilities to insert themselves 
into the storyline. The Giant Shark or Bottomless Pit could absolutely still trigger, but your deck 
would be shuffled before they do!"
"","","Movement on the Storyline:  When you need to specify movement from an effect on the storyline, the 
entire movement path goes onto the storyline before any movement actually resolves. Each step is 
resolved one at a time, but the whole movement path is placed on the storyline first. See 
((Splitting Events on the Storyline)) for an example of [[Grapple Shot]], and see ((Projectiles That 
Cause Forced Movement)) for more details. Some effects cause movement to a specific location without 
specifying the path, e.g. [[Giant Shark]]. When such an effect resolves from the storyline, you must 
specify the shortest path that would allow the unit to actually reach the desired destination, 
ignoring triggered abilities. If there are multiple such paths, the controller of the effect chooses 
among the tied routes. If there is no valid path that allows the unit to reach its destination (e.g. 
[[Iceberg]]), do not move at all."
"","","New Events Interrupt The Storyline:  If the resolution of one event triggers a new event, the new 
event will be inserted into the storyline just before the triggering event. The new event 
temporarily interrupts any remaining events on the storyline. Once the new event has been resolved, 
the story continues. For example, if you cast [[Plumed Pegasus]] while carrying the [[Ring of 
Morrigan]], the sequence will be: 1) Cast Plumed Pegasus. The storyline looks like this: Summon 
Plumed Pegasus to the surface of site 8 2) Ring of Morrigan notices the 'cast' trigger, and now the 
storyline looks like this: Ring of Morrigan ability Summon Plumed Pegasus to the surface of site 8 
3) Then, you resolve the Ring of Morrigan ability. Note that the Plumed Pegasus spell hasn't 
resolved yet, so it's still on the storyline and not in the realm. The storyline looks like this: 
DONE: Ring of Morrigan ability Summon Plumed Pegasus to the surface of site 8 4) Then, the Plumed 
Pegasus spell resolves. The storyline looks like this: DONE: Ring of Morrigan ability DONE: Summon 
Plumed Pegasus to the surface of site 8 And the Plumed Pegasus is now in the realm."
"","","Simultaneous Triggers:  If multiple events are competing to be added at the same point on the 
storyline, the active player adds all of their events first, in the order of their choice. Then, the 
non-active player add their events in the order of their choice. The non-active player's events will 
end up resolving first, since newly added events always interrupt what's already on the storyline. 
See the example below. It's my turn and I cast [[Apprentice Wizard]] to the surface of my 
[[Bottomless Pit]]. Also, my Bottomless Pit happens to be flooded and you have a [[Mariner's Curse]] 
there. The storyline starts like this: Summon Apprentice Wizard to the surface of Bottomless Pit 
There are no triggers yet, because the Wizard isn't the realm yet. So, we resolve the storyline and 
it looks like this: DONE: Summon Apprentice Wizard to the surface of Bottomless Pit Now, the 
Apprentice Wizard is in the realm, and we have three simultaneous triggers! As the active player, I 
declare mine first in the order of my choice. I order them like this: Apprentice Wizard Genesis 
(Draw a spell) Bottomless Pit ability (Kill Apprentice Wizard since it doesn't have Airborne) Then, 
as the non-active player, you declare your ability and add it ahead of mine. The storyline now looks 
like this: Mariner's Curse ability (Submerge Apprentice Wizard and return to hand) Apprentice Wizard 
Genesis (Draw a spell) Bottomless Pit ability (Kill Apprentice Wizard since it doesn't have 
Airborne) And then those three effects will resolve in order, yours first, then mine. See the 
'((Source is No Longer in the Realm))' example below for more details."
"","","Simultaneous Effects:  Sometimes multiple effects occur simultaneously, as a single event on the 
storyline. For example, [[Windblast]] involves many cards moving, but they all move simultaneously 
and are treated as a single event on the Storyline. Simultaneous effects are different from 
((simultaneous triggers)). Effects are simultaneous and are resolved as a single event on the 
storyline if they use language like 'everything.' E.g. [[Peasant Revolt]] can simultaneously destroy 
many cards. An effect is also simultaneous if it uses language like 'each' or 'all,' without also 
using 'one at a time.' For example, [[Maelström]] simultaneously moves many minions and [[Boneyard]] 
simultaneously summons two minions, but [[Tactical Move]] is resolved as separate events on the 
storyline."
"","","Source is No Longer in the Realm:  If the source of a storyline event was in the realm but then 
leaves the realm before the event resolves, the event is ignored and does not actually resolve. 
Simply proceed to the next event on the storyline. Continuing from the example in '((Multiple 
Simultaneous Triggers))' above, the [[Apprentice Wizard]] entered the realm on the surface of a 
flooded [[Bottomless Pit]] with a [[Mariner's Curse]]. We have three events on the storyline, as 
follows: Mariner's Curse ability (Submerge Apprentice Wizard and return to hand) Apprentice Wizard 
Genesis (Draw a spell) Bottomless Pit ability (Kill Apprentice Wizard since it doesn't have 
Airborne) The Mariner's Curse resolves, submerging the Apprentice Wizard (who dies underwater 
without the submerge ability), and the Mariner's Curse returns to your hand. Now, the storyline 
looks like: DONE: Mariner's Curse ability Apprentice Wizard Genesis (Draw a spell) Bottomless Pit 
ability (Kill Apprentice Wizard since it doesn't have Airborne) Now, the Apprentice Wizard's Genesis 
ability tries to resolve, but the Apprentice Wizard is no longer in the realm. The genesis ability 
cannot resolve and is ignored. I do not draw a spell. Now, the storyline looks like: DONE: Mariner's 
Curse ability IGNORED: Apprentice Wizard Genesis Bottomless Pit ability (Kill Apprentice Wizard 
since it doesn't have Airborne) The Bottomless Pit ability resolves. It tries to kill the Apprentice 
Wizard and fails, since the Apprentice Wizard is already dead. If a specific event has started to 
resolve and got split up (per the ((Splitting Events on the Storyline)) rules), that event will 
continue to resolve even if the source leaves the realm."
"Strike","Strike simply means to deal damage equal to the unit's power. For example, if a [[Bosk Troll]] 
strikes, it strikes for 3 damage. In a fight, units strike each other simultaneously. Some abilities 
allow units to strike first, e.g. Lance. Split power units deal damage equal to their attack power 
when they strike. Sometimes the striking unit and the unit being struck are at different locations, 
and some effects (e.g. [[Mask of Mayhem]]) care about the location of the strike. For clarity, the 
strike occurs at the location of the unit being struck.",""
"","","Strikes vs. Multiple Units:  At the moment a strike is resolving against multiple units, the 
controller of the striking unit declares how to split up the damage among the struck units. The 
damage may be split up however you prefer, including assigning zero damage to some units (see 
below). The total damage assigned must equal the total power of the strike. Units assigned zero 
damage are still considered struck, and the striking unit makes a total of one strike, split among 
multiple units. The damage is inflicted simultaneously on all units."
"","","Strikes for Zero Damage:  A strike for zero damage, e.g. [[Grandmaster Wizard]], is still a strike, 
even though it doesn't do damage. See the 'zero' codex entry for more details."
"","","Multiple Simultaneous Strikes:  Some effects care about a unit's 'next strike' or 'the next time it 
strikes.'  If the unit is making multiple strikes at the same time (from an effect like [[Whirling 
Blades]] or [[Leap Attack]]) then all of those strikes are considered the 'next strike.'  This means 
that a unit with a Lance that is affected by [[Spin Attack]] will deal one extra damage on each of 
it's strikes. Note that this is different from attacking while there are multiple defenders. In that 
case, the attacker makes a single strike, and the damage is split among the defenders."
"Submerge","Keyword Ability. A minion with Submerge can be summoned to underwater locations and survive 
underwater. By using one step, a minion with Submerge can move between the surface and subsurface of 
a water site, or between adjacent underwater locations. A minion with both the Burrowing and 
Submerge abilities can move directly from an underground location to an underwater location in an 
adjacent square, and vice versa, in one step. For example, [[Coral-reef Kelpie]] can be summoned 
underwater to one of your water sites. Then, after their summoning sickness wore off, they could use 
their Move and Attack ability to take a step from underwater to the surface of that site (and that 
would use up their step). If they were on the surface of a water site, they could use their step to 
move from the surface to underwater of that site. To 'submerge' means to move from the surface to 
the underwater of a water site. When an effect 'submerges' a card, you forcefully move that card 
from the surface to underwater, even if it doesn't have the Submerge ability. If an effect tries to 
forcefully submerge (e.g. [[Drown]]) a card that occupies at least one land site, the effect fails.",""
"Subsurface","The bottom layer of a site. The subsurface of a water site is underwater. The subsurface of a land 
site is underground. Void squares do not have a subsurface (or surface).",""
"Subtypes","Subtypes provide additional theme and flavor for a card. Subtypes are capitalized and shown in the 
card's typeline. For example, the card [[Roaming Monster]] has the 'Monster' subtype. In general, 
subtypes have no inherent game effect, but other cards may refer to them. For example, [[King of the 
Realm]] cares about the Mortal subtype. Artifacts have two special subtypes ('((Automaton))', 
'((Monument))') that do have inherent game rules. See the those codex entries for more details.",""
"Summon","Summon means 'enter the realm,' for minions. When you cast a minion spell, the result is that you 
summon that minion, following normal restrictions about casting spells. When another effect causes 
you to summon a minion directly without casting it, e.g. [[Mother Nature]], [[Brother Knight]], 
[[Knighthood]], etc., you simply put it into the realm. You don't need to pay mana, meet threshold 
requirements, or choose a location you control, as you usually do when you cast a minion spell. 
Typically a summon effect will specify where the summoned minion appears. For example, [[Mother 
Nature]] specifies that the minion is summoned 'here,' i.e., Mother Nature's location, even if 
that's an enemy site. If a summon effect does not specify where the summoned minion appears, e.g. 
[[Raise Dead]] or [[Plague of Frogs]], you may summon it to any location in any region. If you try 
to summon a minion to a location that it can't enter, e.g. [[Gnome Hollows]], it doesn't change 
zones and remains where it was.",""
"Summoning Sickness","A minion that entered the realm this turn, whether from being cast or from another card's effect, 
suffers from ))summoning(( sickness until the end of turn. A minion suffering from ))summoning(( 
sickness cannot tap, or be tapped, to pay for costs associated with any ability. This includes any 
additional abilities that may have been granted by spells and artifacts. When you summon a minion on 
your turn, it enters play untapped, so you may use it to defend on your opponent's turn.",""
"Surface","Surface has two meanings in Sorcery! Sorry about that! English is tricky. Surface as a noun means 
'the top layer of a site,' as in 'the surface of a site.' This is the more common usage of the word, 
which you can see on [[Buried Treasure]], [[Teleport]], or [[Bone Rabble]]. Surface as a verb means 
'to move up from underwater,' as in 'surface the submerged minion.' You can see examples of this on 
[[Diluvian Kraken]], [[Iceberg]], and [[Mudflow]]. Void squares do not have a surface (or 
subsurface).",""
"Tap","Units in the realm can be tapped as a cost to activate various abilities. A player may also need to 
tap a unit as a cost related to spells or abilities on other cards. A minion with summoning sickness 
cannot tap or be tapped to pay costs (but may be tapped directly by other effects, e.g. [[Grievous 
Insult]]). To tap a card, turn a it 90° to the right, from an upright position. Only untapped units 
in the realm can be tapped.",""
"Target","A target is the chosen object of a spell or effect. It uses the word 'target,' and choosing a target 
is required. For example, [[Arc Lightning]] has a target of a 'nearby unit' and [[Red Desert]] has a 
target of 'nearby site.' The source of the ability, or the caster of the spell, must be in the same 
region as everything it targets. When you cast a spell or use an ability that targets, before it 
even goes on the storyline, you must declare all targets. For example, [[Bury]] is a spell that 
targets, and [[Vile Imp]] has an ability that targets. You must declare a legal target as the effect 
goes on the storyline, and the legality of the target is checked again when the effect starts to 
resolve. If you cannot declare a legal target when the spell or ability would enter the storyline, 
the spell isn't actually cast and the ability can't be used. See '((Casting Magics))' for more 
details.",""
"Tawny","Tawny is a token minion with 1 power. She is a Unique Beast with 'Airborne, Spellcaster, Can't 
defend.' Tawny is an ((air)) minion. See [[Druid]].",""
"Teleport","Teleportation is forced movement directly from one location to another. Teleportation does not cross 
borders, and does not have a defined cardinal direction (even if the two locations are in the same 
row or column). Teleportation from the same location to itself is not movement at all; in that case, 
the unit never left the location and never entered it again. See the 'Oversized Units' codex entry 
for more details on teleportation with oversized units.",""
"The Golden Rule","The Golden Rule of Sorcery is that some text is intentionally informal or necessarily compact. Use 
common sense and be cool.",""
"The Silver Rule","When card text and rules text conflict, specific card text takes precedence when there is a direct 
conflict. See also the 'Can vs. Can't' codex entry. The priority from highest to lowest is: Specific 
card text that says you 'can't' do something. Specific card text that says you 'can' do something. 
Rules text that says you 'can't' do something. Rules text that says you 'can' do something.",""
"There","'There' refers to the location(s) that the card occupies. For most cards, such as minions and 
artifacts, that means one location. For example, [[Backstab]]'s use of 'there' means the adjacent 
location of the tapped minion. For auras, that usually means 4 locations, most commonly the surface 
of 4 sites. For sites, 'there' includes both the site's surface location and it's subsurface 
location. For example, [[Upwelling]] will return subsurface minions and artifacts as well as those 
on the surface. 'There' is analogous to 'here.'",""
"Token","Token cards are equivalent to normal cards while in the realm. If they would ever leave the realm, 
they are banished instead. Tokens have a default cost of zero, though if the token is a copy of 
another card it will copy that card's characteristics. Players may use anything they wish to 
represent tokens, as long as the game state is clear. The owner of a token is typically whoever put 
it into play, but if a card is transformed into a token, e.g. [[Pollimorph]] or [[Degradation]], the 
owner of the transformed card is the owner of the token. Typical token minions include: Foot Soldier 
token Frog token Tawny Bruin Typical token sites include: Rubble Typical token artifacts include: 
Lance",""
"Top","'Top' can have two different meanings in Sorcery, depending on context. When referring to your deck, 
top or topmost simply means the top card of the deck. For example, [[Mother Nature]]. When referring 
to the realm, top means the row farthest from you. For example, [[Polar Explorers]].",""
"Top Border","The 'top border' of a site is the border farthest from your starting edge. This is relevant for a 
few cards like [[Perilous Bridge]]. 'Top border' is player-relative. If the control of such a card 
changes, the direction it perceives as 'top border' will also change.",""
"Tournament Rules","Sorcery is intended to be played in whatever way you and your friends find most enjoyable! If you're 
attending a tournament, it's wise to be aware of the rules that will apply, ensuring that everyone 
attending the event understands how it will work. Tournament organizers are empowered to modify the 
rules to maximize the fun of the players in their community, including banning or modifying cards, 
modifying the setup rules to provide some compensation for going second, etc. For example, one such 
setup rule is that after mulligans, the second player may look at the top card of their spellbook or 
the top card of their atlas, and then may put that card on the bottom. Please check with the 
tournament organizer of any events you attend to ensure you understand the rules that will be in 
effect, and most importantly, have fun!",""
